,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
1157,57.5,5.0,157.0,112.0,17.0,2.0,Дизайнерский,Свободная продажа,2002.0,Монолитный,II-01,20.0,есть,55.747323,37.396371,13.910335015582334
1158,52.0,2.0,79.4,37.0,10.0,5.0,Дизайнерский,Свободная продажа,2016.0,Монолитный,Серия неизвестна,13.0,Неизвестно,55.76958,37.59171,2.54962037429044
1159,7.55,2.0,59.0,32.24744287268771,10.0,5.0,Не известно,Свободная продажа,1996.5014386607377,Монолитный,Серия неизвестна,17.0,Неизвестно,55.979868,37.14761,38.85889663212287
1160,28.5,2.0,67.7,32.24744287268771,10.0,16.0,Евро,Свободная продажа,1971.0,Кирпичный,01-пз индивидуальный проект,16.0,есть,55.797594,37.505157,8.699504349247267
1161,21.0,1.0,34.5,17.0,9.0,8.0,Дизайнерский,Свободная продажа,1973.0,Кирпичный,01-пз индивидуальный проект,15.0,есть,55.780335,37.611051,3.1826275648800064
1162,7.35,1.0,33.0,19.0,7.0,8.0,Евро,Альтернатива,1979.0,Панельный,01-пз индивидуальный проект,9.0,есть,55.601803,37.164974,33.02989629888978
1163,99.0,5.0,205.0,150.0,20.0,13.0,Отсутствует,Свободная продажа,2013.0,Монолитный,01-пз индивидуальный проект,24.0,есть,55.778861,37.608643,3.044702991808207
1164,9.0,1.0,36.0,18.0,9.0,3.0,Евро,Свободная продажа,2014.0,Монолитно-кирпичный,Серия неизвестна,3.0,Неизвестно,55.544581,37.495428,24.34291121753879
1165,10.5,1.0,38.0,21.0,8.0,2.0,Не известно,Свободная продажа,1984.0,Панельный,П-46,14.0,есть,55.627427,37.720888,15.311675017328758
1166,24.58,3.0,79.1,50.0,12.5,16.0,Косметический,Свободная продажа,1996.5014386607377,Монолитный,Серия неизвестна,19.0,Неизвестно,55.828784,37.701664,10.040239262317458
1167,35.55,1.0,47.4,12.0,32.0,19.0,Не известно,Свободная продажа,2021.0,Монолитный,Серия неизвестна,24.0,есть,55.76132,37.512505,6.687731268571599
1168,74.5,3.0,137.0,90.0,10.0,4.0,Дизайнерский,Свободная продажа,1903.0,Кирпичный,01-пз индивидуальный проект,6.0,есть,55.764075,37.609164,1.4481706381168937
1169,13.49,1.0,42.5,18.754882337030025,6.0,6.0,Не известно,Неизвестно,2020.0,Монолитный,Серия неизвестна,21.0,есть,55.66114,37.454286,14.419065265918134
1170,51.0,1.0,58.0,35.0,13.0,3.0,Требует ремонта,Свободная продажа,2013.0,Монолитный,01-пз индивидуальный проект,14.0,есть,55.786571,37.617626,3.8491704525305064
1171,16.45,1.0,44.0,13.0,23.0,8.0,Дизайнерский,Свободная продажа,2018.0,Смешанные,II-01,19.0,есть,55.849691,37.620905,10.87866955359641
1172,44.99,3.0,53.0,39.0,10.0,5.0,Дизайнерский,Свободная продажа,2020.0,Монолитный,Серия неизвестна,11.0,Неизвестно,55.754279,37.544764,4.588804851954581
1173,10.99,2.0,36.7,32.24744287268771,7.5,6.0,Отсутствует,Альтернатива,1966.0,Блочный,п 18/22,9.0,есть,55.795631,37.577247,5.482232947034514
1174,12.5,1.0,43.0,18.754882337030025,12.0,6.0,Не известно,Неизвестно,2016.0,Блочный,01-пз индивидуальный проект,9.0,есть,55.628937,37.341843,22.108320404787907
1175,8.1,1.0,35.0,20.0,10.0,11.0,Косметический,Свободная продажа,1965.0,Блочный,ii-18-01-мн,12.0,есть,55.995025,37.220903,36.73123196222986
1176,8.9,1.0,39.0,20.0,9.0,13.0,Косметический,Свободная продажа,1990.0,Железобетон,П-46,14.0,есть,55.820824,37.832952,15.524914925362914
1177,9.8,1.0,38.2,20.0,8.0,14.0,Не известно,Свободная продажа,1997.0,Железобетон,П-44,18.0,есть,55.65431,37.763728,14.231745178993783
1178,20.6,2.0,53.3,29.5,10.9,11.0,Требует ремонта,Свободная продажа,2023.0,Монолитный,Серия неизвестна,49.0,есть,55.782218,37.465083,10.155062189946475
1179,9.3,1.0,36.7,14.5,8.0,20.0,Отсутствует,Свободная продажа,2019.0,Панельный,Серия неизвестна,26.0,есть,55.860746,37.372431,19.5751975727404
